fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.074,0.007,0,0.019,0.00076,0.11,0.34,0.009978,0.0351,0.0056,0.094,5
0.078,0.0088,0,0.026,0.00098,0.25,0.67,0.009968,0.032,0.0068,0.098,5
0.078,0.0076,0.0004,0.023,0.00092,0.15,0.54,0.00997,0.0326,0.0065,0.098,5
0.112,0.0028,0.0056,0.019,0.00075,0.17,0.6,0.00998,0.0316,0.0058,0.098,6
0.074,0.007,0,0.019,0.00076,0.11,0.34,0.009978,0.0351,0.0056,0.094,5
0.074,0.0066,0,0.018,0.00075,0.13,0.4,0.009978,0.0351,0.0056,0.094,5
0.079,0.006,0.0006,0.016,0.00069,0.15,0.59,0.009964,0.033,0.0046,0.094,5
0.073,0.0065,0,0.012,0.00065,0.15,0.21,0.009946,0.0339,0.0047,0.1,7
0.078,0.0058,0.0002,0.02,0.00073,0.09,0.18,0.009968,0.0336,0.0057,0.095,7
0.075,0.005,0.0036,0.061,0.00071,0.17,1.02,0.009978,0.0335,0.008,0.105,5
0.067,0.0058,0.0008,0.018,0.00097,0.15,0.65,0.009959,0.0328,0.0054,0.092,5
0.075,0.005,0.0036,0.061,0.00071,0.17,1.02,0.009978,0.0335,0.008,0.105,5
0.056,0.00615,0,0.016,0.00089,0.16,0.59,0.009943,0.0358,0.0052,0.099,5
0.078,0.0061,0.0029,0.016,0.00114,0.09,0.29,0.009974,0.0326,0.0156,0.091,5
0.089,0.0062,0.0018,0.038,0.00176,0.52,1.45,0.009986,0.0316,0.0088,0.092,5
0.089,0.0062,0.0019,0.039,0.0017,0.51,1.48,0.009986,0.0317,0.0093,0.092,5
0.085,0.0028,0.0056,0.018,0.00092,0.35,1.03,0.009969,0.033,0.0075,0.105,7
0.081,0.0056,0.0028,0.017,0.00368,0.16,0.56,0.009968,0.0311,0.0128,0.093,5
0.074,0.0059,0.0008,0.044,0.00086,0.06,0.29,0.009974,0.0338,0.005,0.09,4
0.079,0.0032,0.0051,0.018,0.00341,0.17,0.56,0.009969,0.0304,0.0108,0.092,6
0.089,0.0022,0.0048,0.018,0.00077,0.29,0.6,0.009968,0.0339,0.0053,0.094,6
0.076,0.0039,0.0031,0.023,0.00082,0.23,0.71,0.009982,0.0352,0.0065,0.097,5
0.079,0.0043,0.0021,0.016,0.00106,0.1,0.37,0.009966,0.0317,0.0091,0.095,5
0.085,0.0049,0.0011,0.023,0.00084,0.09,0.67,0.009968,0.0317,0.0053,0.094,5
0.069,0.004,0.0014,0.024,0.00085,0.21,0.4,0.009968,0.0343,0.0063,0.097,6
0.063,0.0039,0.0016,0.014,0.0008,0.11,0.23,0.009955,0.0334,0.0056,0.093,5
0.076,0.0041,0.0024,0.018,0.0008,0.04,0.11,0.009962,0.0328,0.0059,0.095,5
0.079,0.0043,0.0021,0.016,0.00106,0.1,0.37,0.009966,0.0317,0.0091,0.095,5
0.071,0.0071,0,0.019,0.0008,0.14,0.35,0.009972,0.0347,0.0055,0.094,5
0.078,0.00645,0,0.02,0.00082,0.08,0.16,0.009964,0.0338,0.0059,0.098,6
0.067,0.00675,0.0007,0.024,0.00089,0.17,0.82,0.009958,0.0335,0.0054,0.101,5
0.069,0.00685,0,0.025,0.00105,0.22,0.37,0.009966,0.0346,0.0057,0.106,6
0.083,0.00655,0.0012,0.023,0.00083,0.15,1.13,0.009966,0.0317,0.0066,0.098,5
0.069,0.00605,0.0012,0.107,0.00073,0.4,0.83,0.009993,0.0345,0.0052,0.094,6
0.052,0.0032,0.0025,0.018,0.00103,0.13,0.5,0.009957,0.0338,0.0055,0.092,5
0.078,0.00645,0,0.055,0.00086,0.05,0.18,0.009986,0.034,0.0055,0.096,6
0.078,0.006,0.0014,0.024,0.00086,0.03,0.15,0.009975,0.0342,0.006,0.108,6
0.081,0.0038,0.0028,0.021,0.00066,0.13,0.3,0.009968,0.0323,0.0073,0.097,7
0.057,0.0113,0.0009,0.015,0.00172,0.07,0.19,0.00994,0.035,0.0048,0.098,4
0.073,0.0045,0.0036,0.059,0.00074,0.12,0.87,0.009978,0.0333,0.0083,0.105,5
0.073,0.0045,0.0036,0.059,0.00074,0.12,0.87,0.009978,0.0333,0.0083,0.105,5
0.088,0.0061,0.003,0.028,0.00088,0.17,0.46,0.009976,0.0326,0.0051,0.093,4
0.075,0.0049,0.002,0.026,0.00332,0.08,0.14,0.009968,0.0321,0.009,0.105,6
0.081,0.0066,0.0022,0.022,0.00069,0.09,0.23,0.009968,0.033,0.012,0.103,5
0.068,0.0067,0.0002,0.018,0.0005,0.05,0.11,0.009962,0.0348,0.0052,0.095,5
0.046,0.0052,0.0015,0.021,0.00054,0.08,0.65,0.009934,0.039,0.0056,0.131,4
0.077,0.00935,0.0043,0.022,0.00114,0.22,1.14,0.00997,0.0325,0.0073,0.092,5
0.087,0.0029,0.0052,0.016,0.00113,0.12,0.37,0.009969,0.0325,0.0058,0.095,5
0.064,0.004,0.0023,0.016,0.00066,0.05,0.12,0.009958,0.0334,0.0056,0.092,5
0.056,0.0031,0.0037,0.014,0.00074,0.12,0.96,0.009954,0.0332,0.0058,0.092,5
0.088,0.0066,0.0026,0.017,0.00074,0.04,0.23,0.009971,0.0315,0.0074,0.092,5
0.066,0.0052,0.0004,0.022,0.00069,0.08,0.15,0.009956,0.034,0.0063,0.094,6
0.066,0.005,0.0004,0.021,0.00068,0.06,0.14,0.009955,0.0339,0.0064,0.094,6
0.086,0.0038,0.0036,0.03,0.00081,0.3,1.19,0.00997,0.032,0.0056,0.094,5
0.076,0.0051,0.0015,0.028,0.0011,0.33,0.73,0.009955,0.0317,0.0063,0.102,6
0.077,0.0062,0.0004,0.038,0.00084,0.25,0.45,0.009978,0.0334,0.0053,0.095,5
0.102,0.0042,0.0057,0.034,0.0007,0.04,0.1,0.009971,0.0304,0.0063,0.096,5
0.075,0.0063,0.0012,0.051,0.00111,0.5,1.1,0.009983,0.0326,0.0077,0.094,5
0.078,0.0059,0.0018,0.023,0.00076,0.17,0.54,0.009975,0.0343,0.0059,0.1,5
0.073,0.0039,0.0031,0.024,0.00074,0.09,0.46,0.009962,0.0341,0.0054,0.094,6
0.088,0.004,0.004,0.022,0.00079,0.19,0.52,0.00998,0.0344,0.0064,0.092,5
0.077,0.0069,0.0049,0.018,0.00115,0.2,1.12,0.009968,0.0321,0.0071,0.093,5
0.075,0.0052,0.0016,0.019,0.00085,0.12,0.35,0.009968,0.0338,0.0062,0.095,7
0.07,0.00735,0.0005,0.02,0.00081,0.13,0.54,0.009966,0.0339,0.0057,0.098,5
0.072,0.00725,0.0005,0.0465,0.00086,0.04,0.11,0.009962,0.0341,0.0039,0.109,5
0.072,0.00725,0.0005,0.0465,0.00086,0.04,0.11,0.009962,0.0341,0.0039,0.109,5
0.075,0.0052,0.0011,0.015,0.00079,0.11,0.39,0.009968,0.0342,0.0058,0.096,5
0.066,0.00705,0.0007,0.016,0.00076,0.06,0.15,0.009962,0.0344,0.0058,0.107,5
0.093,0.0032,0.0057,0.02,0.00074,0.27,0.65,0.009969,0.0328,0.0079,0.107,5
0.08,0.00705,0.0005,0.019,0.00074,0.08,0.19,0.009962,0.0334,0.0095,0.105,6
0.077,0.0063,0.0008,0.019,0.00076,0.15,0.27,0.009967,0.0332,0.0054,0.095,6
0.077,0.0067,0.0023,0.021,0.00088,0.17,0.96,0.009962,0.0332,0.0048,0.095,5
0.077,0.0069,0.0022,0.019,0.00084,0.18,0.94,0.009961,0.0331,0.0048,0.095,5
0.083,0.00675,0.0026,0.021,0.00084,0.11,0.43,0.009976,0.0331,0.0053,0.092,4
0.097,0.0032,0.0054,0.025,0.00094,0.28,0.83,0.009984,0.0328,0.0082,0.096,5
0.088,0.0041,0.0064,0.022,0.00093,0.09,0.42,0.009986,0.0354,0.0066,0.105,5
0.088,0.0041,0.0064,0.022,0.00093,0.09,0.42,0.009986,0.0354,0.0066,0.105,5
0.068,0.00785,0,0.024,0.00104,0.14,0.3,0.009966,0.0352,0.0055,0.107,6
0.067,0.0075,0.0012,0.02,0.00086,0.12,0.8,0.009958,0.0338,0.0052,0.101,5
0.083,0.00625,0.002,0.015,0.0008,0.27,1.19,0.009972,0.0316,0.0112,0.091,4
0.062,0.0045,0.002,0.016,0.00069,0.03,0.15,0.009958,0.0341,0.0056,0.092,5
0.078,0.0043,0.007,0.019,0.00464,0.22,0.67,0.009974,0.0313,0.0128,0.094,5
0.074,0.005,0.0047,0.02,0.00086,0.21,0.73,0.00997,0.0336,0.0057,0.091,5
0.073,0.0067,0.0026,0.018,0.00401,0.16,0.51,0.009969,0.0316,0.0114,0.094,5
0.063,0.003,0.0048,0.018,0.00069,0.18,0.61,0.009959,0.0344,0.0078,0.103,6
0.069,0.0055,0.0015,0.022,0.00076,0.19,0.4,0.009961,0.0341,0.0059,0.101,5
0.086,0.0049,0.0028,0.019,0.0011,0.2,1.36,0.009972,0.0293,0.0195,0.099,6
0.077,0.0049,0.0026,0.019,0.00062,0.09,0.31,0.009966,0.0339,0.0064,0.096,5
0.093,0.0039,0.0044,0.021,0.00107,0.34,1.25,0.009978,0.0314,0.0122,0.095,5
